Last_updated,DAM_ID,Project name,Continent,Country,Main_river,Major_Basin,Capacity (MW),Ref_cap,Lat_2016,Lon_2016,Stage,Ref_stage,Start,End,Ref_time,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5
Mar-15,3677,Tenosique,North America,Mexico,Grijalva / Usumacinta,Grijalva - Usumacinta,420.00,,17.4014250000,-91.5054990000,P,,,2025,,83,,,,
Aug-15,3678,Xinrong,Asia,China,Salween River (Nu),Salween,420.00,445,30.9464390000,95.7736950000,U,445,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,Excel: International Rivers 2014,,,
Jan-15,3679,Kpep,Africa,Cameroon,Katsina Ala,Niger,450.00,1,6.8150570000,9.9763720000,FA,2,,,,http://www.lahmeyer.de/en/item/article/planning-for-kpep-hydropower-project-at-katsina-ala-river-in-cameroon.html,http://www.jouleafrica.com/news/press-releases/joule-africa-to-work-with-government-of-cameroon-on-us$200m-100mw-solar-pv-development.html,http://joshuaproject.net/people_groups/10761/CM,,
Aug-15,3682,Stübing,Europe,Austria,Danube,Danube,12.00,,47.1666090000,15.3198190000,P,,2017,2020,,http://www.verbund.com/pp/en/run-of-river-power-plant/stuebing,,,,
Mar-15,3683,Cruces,North America,Mexico,Northwest Mexico Coast,Mexico[comma] Northwest Coast,490.00,,21.9494940000,-105.0822690000,P,,,2025,,84,177,,,
Aug-15,3684,Graz-Puntigam,Europe,Austria,Danube,Danube,16.00,,47.0398310000,15.4428150000,P,,2014,2016,,http://www.verbund.com/pp/en/run-of-river-power-plant/graz-puntigam,,,,
Mar-15,3685,Cerro Del Aguila,South America,Peru,Amazon Basin,Amazon,507.00,,-12.2905270000,-74.6849160000,U,,2011,2016,,85,,,,
Mar-15,3687,Paso De La Reina,North America,Mexico,Isthmus of Tehuantepec,Isthmus of Tehuantepec,540.00,,16.2745000000,-97.6065020000,P,,,2025,,84,178,,,
Mar-15,3689,Upper Marsyangdi-2,Asia,Nepal,Ganges / Brahmaputra Basin,Ganges - Bramaputra,600.00,,28.5188190000,84.4011180000,U,,,2019,,371,,,,
Jan-15,3690,Chollet,Africa,Congo[comma] Rep.,Boumba,Congo,600.00,2,2.1950750000,14.5853690000,P,1[comma] 2,,,,Chollet_20I1_CA_RegionalPowerPools_Report,http://www.hydroworld.com/articles/2014/03/consultants-sought-to-advance-congo-republic-s-1-000-mw-sounda-gorge-hydro-project.html,http://www.congo-site.com/Relance-du-projet-de-construction-du-barrage-de-Chollet_a13390.html,http://www.researchviews.com/energy/power/hydro/DealReport.aspx?sector=Hydro&DealID=207505,
Jan-15,3691,Lupata,Africa,Mozambique,Zambezi 2,Zambezi,612.00,1,-16.5729170000,33.9796900000,FA,2,2015,2020,2,http://www.mozambiqueminingjournal.com/mauritian-business-group-to-build-hydroelectric-plants-in-mozambique/,http://constructionreviewonline.com/2014/09/construction-of-lupata-and-boroma-dams-in-mozambique-to-start-in-2015/,Stanzel et al 2014,,
Aug-15,3692,Luohe,Asia,China,Salween River (Nu),Salween,600.00,445,31.0746960000,95.4549550000,P,445,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,Excel: International Rivers 2014,,,
Feb-15,3693,Amaria,Africa,Guinea,Konkoure,Africa[comma] West Coast,300.00,1,10.3562500000,-13.5363570000,P,,,,,WAPP Energy Report 2011,,,,
Aug-15,3694,Nujiangqiao,Asia,China,Salween River (Nu),Salween,800.00,445,30.1030340000,97.1995140000,U,445,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,Excel: International Rivers 2014,,,
Jan-15,3695,Song Mbengue,Africa,Cameroon,Sanaga 1,Gulf of Guinea,900.00,1,3.8544140000,10.2601740000,P,1[comma] 2,,2018,2,http://www.naldeo.com/environment/environmental-and-social-impact-studies-118/case-cameroon-song-mbengue-hydropower-scheme-and-transmission-line-287,African Developement Fund Report 2011 on Long Pangar Project,http://www.china-invests.net/20091208/26954.aspx,,
Oct 15,3696,Zhala,Asia,China,Salween River (Nu),Salween,930.00,,28.6628760000,98.4324220000,P,,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,,,,
Dec-15,3697,Kirthai-Ii,Asia,India,Indus Basin,Indus,990.00,718,33.3166870000,76.0742640000,U,793,2013,2016,,http://cdm.unfccc.int/s/Validation/DB/F9A2YPY0GFG2LBRTFKU6YRHXOTBJK3/view.html,,,,
Feb-15,3698,Kobong,Africa,Lesotho,Orange 6,Orange,1200.00,1[comma] 2,-29.1826260000,28.4868050000,P,1[comma] 3,,,,http://www.hydroworld.com/articles/2015/01/lesotho-seeks-bids-to-develop-polihali-dam-hydro-project-studied.html,http://www.au-pida.org/kobong-pumped-storage-dam-and-hydropower-plant,http://www.iol.co.za/business/news/zuma-agrees-to-fund-lesotho-power-plant-1.1518250#.VO8L4nYglsM,,
Aug-15,3699,Banda,Asia,China,Mekong Basin,Mekong,1000.00,449[comma] 451,30.2007160000,97.9338200000,U,445,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,World Atlas / http://www.internationalrivers.org/campaigns/mekong-lancang-river,Excel: International Rivers 2014,https://en.wikipedia.org/wiki/Hydropower_in_the_Mekong_River_Basin,
Aug-15,3700,Reyu,Asia,China,Salween River (Nu),Salween,1050.00,445,31.1657550000,95.1294530000,U,445,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,Excel: International Rivers 2014,,,
Jul-15,3701,Luola,Asia,China,Salween River (Nu),Salween,1050.00,445,29.4647840000,97.6479290000,P,445,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,Excel: International Rivers 2014,,,
Feb-15,3702,Mupata Gorge (Mpata Gorge),Africa,Zimbabwe,Zambezi 4,Zambezi,1200.00,1,-15.6270830000,30.0833000000,FS,1,,,,http://www.zaraho.org.zm/hydro-electric-schemes/mupata-gorge-hydroelectric-scheme,,,,
Feb-15,3703,Mepanda Uncua (Mpanda Uncua) (Ph I),Africa,Mozambique,Zambezi 3,Zambezi,1348.00,1,-15.7806350000,33.1508810000,P,,,,,Mepanda Unkua_Study_Report_FIVAS_2003,,,,
Jan-15,3705,Batoka Gorge,Africa,Zambia,Zambezi 8,Zambezi,1650.00,2,-17.9187500000,26.1294340000,FS,2,,,,Comesa Project Description,http://www.zimbabwesituation.com/news/zimsit-m_batoka-to-produce-more-power-the-herald/,http://www.lusakatimes.com/2013/09/27/construction-of-dam-for-batoka-gorge-hydroelectric-power-stations-to-start-next-year/,,
Dec-15,3707,Demwe Lower,Asia,India,Ganges / Brahmaputra Basin,Ganges - Bramaputra,1750.00,717,27.8835800000,96.3738910000,U,794,2010,2016,,http://cdm.unfccc.int/s/Validation/DB/MK9X6LVWGCY3HAXKZ6ADISM2TRYE8S/view.html,,,,
Jul-15,3708,Yabiluo,Asia,China,Salween River (Nu),Salween,1800.00,434,26.3847150000,98.8971570000,P,433,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,http://www.google.de/imgres?imgurl=http%3A%2F%2Fwww.meltdownintibet.com%2Fimages%2Fthreeparallelrivers_lg.gif&imgrefurl=http%3A%2F%2Fwww.meltdownintibet.com%2Ff_river_salween.htm&h=1200&w=773&tbnid=_kVV6Fg0HR3vhM%3A&docid=iyj23dhvOXOd6M&ei=ZwCyVfuPGYynsAGA84CgBQ&tbm=isch&iact=rc&uact=3&dur=450&page=4&start=70&ndsp=25&ved=0CK4CEK0DMFhqFQoTCLvfp7W188YCFYwTLAodgDkAVA,PDF: Osborne 2007,Excel: International Rivers 2014,
Dec-15,3709,Sawalkot,Asia,India,Indus Basin,Indus,1856.00,716,33.1886370000,75.0944570000,U,795,2013,2018,,http://cdm.unfccc.int/s/Validation/DB/21YL5L1LM2QM2BB1YMGDWEG9CBL07L/view.html,,,,
Oct 15,3710,Yebatan,Asia,China,Yangtze Basin,Yangtze,2800.00,464,30.7673200000,98.9555670000,P,464,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,https://en.wikipedia.org/wiki/List_of_major_power_stations_in_the_Tibet_Autonomous_Region,,,
Oct 15,3713,Xulong,Asia,China,Yangtze Basin,Yangtze,2220.00,456,28.7448970000,99.1271000000,P,456,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,https://en.wikipedia.org/wiki/List_of_major_power_stations_in_Yunnan,,,
Aug-15,3714,Rumei,Asia,China,Mekong Basin,Mekong,2400.00,449,29.6504020000,98.3473520000,U,449,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,http://www.internationalrivers.org/campaigns/mekong-lancang-river,Excel: International Rivers 2014,,
Aug-15,3715,Guxue,Asia,China,Mekong Basin,Mekong,2400.00,449.451,29.1843250000,98.6062180000,U,445,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,http://www.internationalrivers.org/campaigns/mekong-lancang-river,https://en.wikipedia.org/wiki/Hydropower_in_the_Mekong_River_Basin,,
Jul-15,3717,Maji,Asia,China,Salween River (Nu),Salween,4200.00,430,27.3426560000,98.8520360000,P[comma] C,433[comma] 430,,2013,430,http://plateau187.rssing.com/chan-9983318/all_p2.html,http://www.circleofblue.org/waternews/2011/world/burst-of-new-dams-in-southwest-china-produces-power-and-public-ire/,http://www.google.de/imgres?imgurl=http%3A%2F%2Fwww.meltdownintibet.com%2Fimages%2Fthreeparallelrivers_lg.gif&imgrefurl=http%3A%2F%2Fwww.meltdownintibet.com%2Ff_river_salween.htm&h=1200&w=773&tbnid=_kVV6Fg0HR3vhM%3A&docid=iyj23dhvOXOd6M&ei=ZwCyVfuPGYynsAGA84CgBQ&tbm=isch&iact=rc&uact=3&dur=450&page=4&start=70&ndsp=25&ved=0CK4CEK0DMFhqFQoTCLvfp7W188YCFYwTLAodgDkAVA,Excel: International Rivers 2014,
Feb-15,3718,Oxbow,Africa,Lesotho,Orange 6,Orange,80.00,1,-28.7687500000,28.6270830000,P,2,,,,https://www.tariniinfra.com/projects/oxbow-hydro-project/,Lesotho_HWP_Phase_2_2013,FAO List of African Dam 2009 Author: Rosnes,,
Aug-15,3720,Tongka,Asia,China,Salween River (Nu),Salween,,,30.4644330000,96.6495470000,U,445,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,Excel: International Rivers 2014,,,
Sep-15,3721,Bangduo,Asia,China,Mekong Basin,Mekong,,,29.4696420000,98.3945380000,P,492,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,http://plateau187.rssing.com/chan-9983318/all_p2.html,http://petroleumengineerings.blogspot.de/2013/03/2013-update-dams-on-drichu-yangtze.html,,
Aug-15,3722,Gushui,Asia,China,Mekong Basin,Mekong,1800.00,445,28.6091760000,98.7457780000,P,445,,,,http://plateau187.rssing.com/chan-9983318/all_p2.html,World Atlas / http://www.internationalrivers.org/campaigns/mekong-lancang-river,Excel: International Rivers 2014,,
Feb-15,3723,Wabe-Shebele (WS18) (Wabishebele),Africa,Ethiopia,Shebelli 3,Shebelli - Juba,87.75,1,7.4503380000,42.1160420000,P,1,,,,http://www.mowr.gov.et/index.php?pagenum=4.3&pagehgt=1000px&ContentID=53,,,,
Aug-15,3724,Jochenstein-Riedl,Europe,Austria,Danube,Danube,300.00,,48.5184450000,13.7309020000,P,,2014,2018,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://de.wikipedia.org/wiki/Pumpspeicherkraftwerk_Riedl,http://www.verbund.com/pp/en/pumped-storage-power-plant/riedl,,
Aug-15,3725,Werfen/Stegenwald,Europe,Austria,Danube,Danube,14.50,,47.5467830000,13.1673720000,P,,2016,2018,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://www.verbund.com/pp/de/laufkraftwerk/stegenwald,,,
Aug-15,3726,Kainach Hallersdorf,Europe,Austria,Danube,Danube,10.00,,46.9932790000,15.2484230000,P,,,,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://www.lebensraum-kainach.at/wasserkraft.html?sn=Wasserkraft,,,
Aug-15,3728,Malfon,Europe,Austria,Danube,Danube,80.00,,47.1458320000,10.3471470000,P,,,2020,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://translate.google.de/translate?hl=en&sl=de&u=http://www.optionenbericht.at/&prev=/search%3Fq%3DMalfon%2Bkraftwerk%26client%3Dfirefox-a%26hs%3DmDB%26sa%3DN%26rls%3Dorg.mozilla:de:official%26channel%3Dfflb%26biw%3D1920%26bih%3D1069,,,
Aug-15,3729,Illspitz,Europe,Austria,Rhine,Rhine,6.00,,47.2939610000,9.5570760000,U,,,,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://www.feldkirch.at/stadtwerke/energie/stromerzeugung/kraftwerk-illspitz-projekt/aktuelle-information-zum-kraftwerksbau,,,
Aug-15,3730,Seifriedbach,Europe,Austria,Danube,Danube,2.20,,47.3437080000,14.0576930000,U,,,,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://www.aps-sales.no/media/Pdf/hydropower_europe_case_studies.pdf,,,
Aug-15,3731,Janerbrücke,Europe,Austria,Danube,Danube,1.60,,47.3572010000,13.6977200000,P,,,,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://www.kanumagazin.de/szene/news/paddler-auf-die-barrikaden-protest-am-talbach/calp/1512082800/,,,
Aug-15,3732,Hohe Brücke / Ferschnitz (St. Georgen/ Ybbs),Europe,Austria,Danube,Danube,2.90,,48.1025010000,14.9605460000,P,,,,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://www.meinbezirk.at/amstetten/politik/schlagabtausch-zum-evn-kraftwerk-hohe-bruecke-d529290.html,,,
Aug-15,3733,Doislau,Europe,Austria,Danube,Danube,2.90,,48.1083490000,14.9062160000,P,,,,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,https://www.ris.bka.gv.at/Dokument.wxe?Abfrage=Umse&Dokumentnummer=UMSET_19951031_US_05_1995_1_00,,,
Aug-15,3734,Fotscherbach (Sellrain),Europe,Austria,Danube,Danube,3.40,,47.1908490000,11.2245080000,P,,,,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://www.senderswind.at/gruenes-licht-fuer-kraftwerk-sellrain,,,
Aug-15,3735,Debantbach,Europe,Austria,Danube,Danube,4.50,,46.8462220000,12.8291130000,P,,,,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://www.kleinezeitung.at/tirol/lienz/3228470/debantbach-loest-prozesslawine.story,,,
Aug-15,3736,Kapf,Europe,Austria,Rhine,Danube,22.00,,47.2383350000,9.5906670000,P,,,,,http://www.umweltdachverband.at/themen/wasser/wasserkraft/uwd-wasserkraftwerksliste/#c527.,http://translate.google.de/translate?hl=en&sl=de&u=http://www.vol.at/gruenes-licht-fuer-wasserkraft/news-20110212-09195587&prev=/search%3Fq%3DAusleitungskraftwerk%2BKapf%26client%3Dfirefox-a%26hs%3DodR%26rls%3Dorg.mozilla:de:official%26channel%3Dfflb,,,
